,Users,Comments
1359,Lills103,@tommcfly I want to vote but I don't have the link 
1360,DasKatzi,@xxloverxx Oh   I hope she gets well soon.
1361,mhocter,FriendFeed is down for the second Saturday in a row. I swear it happens every time I have time to enjoy FriendFeed. 
1362,ashleighhagan,"@saskiagaltrey I'm working tonight  never venture to town on sat night really, too dear 4 me LOL. Where use off 2?xx"
1363,lownleeeynjul,@gunkanator *big hug* how are you? I didn't see you at the ball last night 
1364,gien25,"@itsneet oh my, i saw in tweetgrid a post of CM. I didnt intend to post here to invade privacy, sorry girl if it coz u that nega comment "
1365,barbie63,In class for the weekend. It is a beach day outside. 
1366,mel_7898,@nhoustonreed   I Hate HACKERS. their so so what is the word I'm looking for?
1367,thecover5,"@VaughnMom good just getting ready 4 tomorrow, Naomi's 1st birthday party..and poor thing, she's sick "
1368,BeardedMagazine,@AstrudRayograph I heard a rumour he was playing... missed him though 
1369,ninicool,how are you all doing?? I am so fine doing but the weather is bad 
1370,LiluYvett,@selenagomez  Selena follow me PLEASE!!!! I'm a biiig fan of you! and Idk how I can talk with you 
1371,fitprosarah,@levalley LOL! i heard the bed squeaking! yet another thing i don't like abt this townhouse! 
1372,worapong,Still havent get any food 
1373,StephanieMarcus,@wiggi1 wiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiggggiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii! i miss you 
1374,eyelinerjunkeh,finished one shift at 2:30 and back there till 22:30 from 17:30 ergh  i cba today..xx someone else go for me please? xxxxxx
1375,xoxoMariela,ughhh workkkk.... 
1376,jljones411,RAIN RAIN GO AWAY DON'T COME BACK ANOTHER DAY 
1377,ramsin_taffles,"@trelllla sounds yum! that thunder this morning was crazy! that realllllly big one woke everyone in my house up, still raining "
1378,LiluYvett,@mileycyrus  Miley follow me PLEASE!!!! I'm a biiig fan of you! and Idk how I can talk with you 
1379,dashingdhawal,i wanna play sims 3 badly but i can't coz i don't have a graphics card 
1380,JanetM97,@SherriMcKnight  Thanks Sherri! They'll only do greater Toronto though.  I'm going to retry Animal Control. dh made the call earlier.
1381,Sazmouse,"@kerrycherry82 u have to update so your pic looks current. Didn't get it done thou, as have a bad eye, it's a swollen mess "
1382,madness42192,Bella just threw up  she has her period ):
1383,wfenwick66,"@bloodycountesss yeah, I keep forgetting today's the citywide garage sale up there. I'm @ work until 6. "
1384,Irv25,Damnnnnnnn!! My back hurts...I can't get out of bed!!!! 
1385,llafornara,"@reeses2mommy im very sorry about your grandma, my thoughts and prayers are with you.. "
1386,jevois_hillary,@ameliastrauss http://twitpic.com/6qsgw - Looks good! You're so multitalented 
1387,omgzkelsey,I hate when its beautiful out and i cant speed on the hwy!   &lt;3kels
1388,raaddd,Anyway NDP trng today was rather disappointing.Sianz  but maybe coz I wasnt feeling very social.Sigh.
1389,logicbox,Vodafone text fail. I made a really interesting update about 1pm about becoming a plant seller. Gone forever. 
1390,clairelewinski,@durtyolpirate animal control is not legally authorized to catch him because he's outside the building 
1391,iswimibikeirun,At work this morning. Super sore throat feeling like crap  yuck!
1392,QueenM81,@r0ckcandy A pity you cant post piccies any more now.. 
1393,bschatsiek,getting blink tickets for chicago isn't looking promising... 
1394,simpleton001,"Apple Store in Kenwood (Cincy, Oh) closed until June 12. "
1395,DianaCPop,wow for thinking sleeping in yesterday would help.. Not so much . Super tried and gotta head to Aveda 
1396,liih_vieira,@tommcfly missing you guys here in Brazil  COME BACK SOON!
1397,eyelinerjunkeh,finished one shift at 14:30 and back there till 22:30 from 17:30 ergh  i cba today..xx someone else go for me please? xxxxxx
1398,teabass,"Finally got my haircut, shortest it's been in a long time, but now I have a cold head "
1399,jayadore,@maggiesnail it was quite amazing! I wish you could have seen it as well! @whipouturnadz your fault for geeking it out 
1400,tasare,"@WorldOfWhispers Yes, Mistress. "
1401,TannerVolz,@serrat rain made it worser! stoopid moldy NW 
1402,debbie_ann77,Getting a massage later. Hopefully this will ease the pain I've been having in my neck 
1403,tlamc,ah... twittertrain is free?? or cost charge...?? i don't know..  ..
1404,11Phoenix,off to a great start... since my laptop decided to be a beotch and die on me this morning... 
1405,Megan_Ho,just got back from a shopping spreeeeeeeeee! *yay*.. feet are really sore tho  ...
1406,jessicamcgrath,home iv hurt my arm  i have a bandage on but i keep taking it off to loook at my cut and getting done now it looks funny
1407,camihonorato,@mileycyrus past the time you come to Brazil 
1408,carrieballz,@LiviBarry i'm sooo sorry   that sucks
1409,favi_ohoh,Missing toby way too much  I want a puppy.
1410,danger_skies,America's Got Talent just isn't the same. Where are my amazing threesome? 
1411,admckenzie22,@MaRieMONOPOLY lucky!!! yesterday it was +27 here 
1412,LoFace,The neigherbood cat bullies need to leave my sweet Tiger boy alone. He has 2 big holes in his heinie 
1413,koltregaskes,"@highandwild Me too, FF down. "
1414,hanndorey,ITS JUST TOO MUCH RIGHT NOW. I NEED TIME TOO MYSELF. AND IM JUST TIRED OF ALL THIS. 
1415,dakotanicole_,owwww. fried 2 of my fingers! 
1416,Dot12b,"@judysteapot I guess it's cold with u today then?! it's cooler than last wkend here, but still reasonably warm here, sorry "
1417,AdrienneRobinso,I want to go see The Hangover tonight with Ryan but don't have a babysitter 
1418,adrianpesebre,@mileycyrus hey just ask how many tweet accounts do you have !! im tired getting fooled pls im really tired !! of finding the real you 
1419,jwilliams11,"Still super bored!! Crap, someone stole my wisdom teeth! Wait, oh I did that of my own free will!  epic fail! Jus call me Mr. Chipmunk! Ha"
1420,cristianbeltram,"@KatheGuerrero yes i'm in LA, where you are coming? tomorrow at noon I go to Paris I want to see u babe but when? "
1421,leezzyfbaby,I need a new phone so bad   anyone wanna buy me one!?
1422,penisicle,My mom wants to bring the kittens to a shelter. 
1423,LinzWaddy,"@Dannymcfly @dougiemcfly Hope you two aren't too hungover, my sympathys if you are "
1424,kwarrenator,Got there late. Door was locked 
1425,dyloo,was feeling better so decided to give the shrubs a hair cut. Midway thru her migraine headache came back. 
1426,boony1999,How to sleep with such weather 
1427,DavidOMahony,via @jeffjarvis The Day the Media Died: http://bit.ly/XZMco I'll never work again 
1428,Leilani412,@thealexbishop That's so sweet! It does suck you never get to see him 
1429,rehael,is bored in work! And its raining again! Team meeting in 2 hrs 
1430,geolowe,this revision break is just not long enough... 
1431,bubsbabes,is hateing the rain! 
1432,stambo_nz,&amp; yes u can't just leave some 1 if they have psych issues it could put them over the edge. Can u see y I feel trapped. It's difficult 
1433,mandythetwit,Rushing poor Max (cat) to the vet ... Again. Feel really sorry for him 
1434,DimeDiva903,My lil cuzzo is graduating from high school right now and I'm missing it because I have to be at work... BOO HOO 
1435,jamgelua, I only have drowsy medicine left. oh joy. im supposed to clean the house while trying NOT to fall asleep?
1436,rachael_kimber,"sitting watching the classic film 'jaws' lol, been to ice skating lessons today have a cold and i think it made it 20 times worse+no bgt "
1437,BeautifulRN,IM UPSET CUZ ONE OF MY BESTIEZ SAYN SHE KANT GO TO THA BEACH AND SHE'D MAKE IT UP BUT NOW IM BUMMED  MS.SMITH RN BSN
1438,CTerry1985,"@mtrh Well you know, Ron Howard asks, and how can you turn down Richie Cunningham? Even though he won't let me meet Fonzie "
1439,Jzizzle07,Woot! Twins game is on @ 3pm today! Yay! It looks like rain today  UGH oh well its still gonna be an awesome day!
1440,_erica,Twitterrific for iPhone crashes everytime I try to upload a photo. 
1441,FancyAbeer,FEMALE TENNIS PLAYERS SUCK! &gt; I miss the days of Graffe &amp; Henin! 
1442,ShalomX,Headache  doing it again tonight! Oh and i leave in nine days
1443,DAzelia,"I'm mad, I erased all the pics in my camera by mistake! "
1444,ELDUQUEDAGOD,@BrittanyChanel8 ive been left out to dry..... 
1445,DWEENALUVSNKOTB,@DEWz_PingPong your gonna make me cry.. My suit case should be out 
1446,NallehxxD,Super hyper. I really shouldn't have been drinking that Cult Cola that fast! I'm feeling bad 
1447,duckie_lips,Watching the D-Day ceremonies &amp; missing my grandpa 
1448,brunettepower,i'm so depressed right now 
1449,cjzlovesjonas,"So tired of cleaning  wish I had Lines, Vines, and Trying Times all ready! Can't wait till Sunday sleepover at Jasmines haha o yeah!"
1450,madison405,ok...sister graduation party...and g/f has to work 
1451,a4realcutie,Doing a research paper for class  . Its driving me crazy!
1452,christianwilson,"@nikkimm33 so sorry  Well, hopefully you can make it a bacon fueled lunch."
1453,rudy_o,Poor Safina  But Kuznetsova played really well...
1454,asfdgrawrana,Isnt going to the beach cause its cold  buttt it hanging out with my best bud!
1455,norippi,to be honest i dont wanna go.. im sorry 
1456,sarahnb,Why can't I listen to Mark Morriss' version of Gouge Away anywhere? 
1457,LaLa5F,Could have gotten coffee. 
1458,paenguin,@hellotoni nothing to do! Raining all over the metro 
1459,cwalk98,I am SOOOOOOOOOOOOOO bored!!!!!!!!!!!!!! *YAWN*  Ã®?ÂšÃ®ÂˆÂµThats a nose!
1460,theboomtube,"@modernally either we added the wrong username, or neither of us is ever online at the same time as the other "
1461,coconutJESS,I had to be at work at 730 this morning 
1462,IckyyFacee,Cant im to the wedding pissed as fuck  the first day im not going to see chris:/
1463,ilovegayboys,Omg i'm breaking out again  When will I have my normal skin back?!?!
1464,mr_bo_jingles,I'm so lazy today  I should have read some paper ... but I haven't at all
1465,aLeX_28,@Georgecraigono  r ya tourin this year? hpe ur alright. xxx
1466,Philipecanrican,@ultracurt no  I ll be in town on the 19th with @nikfreeman.  I went to the gym this morning.
1467,filmgirl1977,Ooh - my cilantro and parsley finally sprouted - too bad I dropped the pot with my oregano in it and had to start over 
1468,ChelseyHart,@gfalcone601 Is it raining where you are..? its pouring down here  x
1469,Southcombe,I think that @ddlovato should include england in her summer tour!! 
1470,Sackh,"... good night, shame that could not be there! "
1471,mel_7898,@StewartKris I just heard and I'm following your new twitter.. I'm so sorry that some scum hacked yours and Robs Twitter.. 
1472,Larion,@MissSididdy Don't hate us  I love women...as much as possible. (trying to love a few this weekend lol jk)
1473,juansequeda,@mhausenblas Awesome pics of #eswc2009! Too bad that #iswc2009 pics won't look like that  Looking forward to seeing you at #semtech2009
1474,gwenflex,@LISAPUNKSTARR I FEEL BAD4HIM. I DNT KNO WAT2DO 2MAKE HIM FEEL BETTER 
1475,woahkayla99,"@Jonasbrothers Hi, wached sportscenter.  the whole thing, and YOU WERE NOT ON! "
1476,emmavescence,@kweilo I seem to be experiencing sausage coma and I don't think I can move my legs or drink any more 
1477,nutnot,"@niawck hehe jangan dibahas ni, nanti ak ngerasa miris, you know that dear "
1478,LijaZija,@GoodTimesAreGon hey man sorry about ur 3 accounts you should really make new account i feel soooo bad 
1479,sic,Reader en 0 pero Starred items +100 
1480,Lauren_M_Harris,"Having a duvet day. Just watched a marathon of the hills, now for the Hamlet revision, been putting it off all day "
1481,yoko71,"@ItsNeet Awesome. I bookmarked it. No definition on nudge, though. "
1482,Jen_Lee,"Oh hey, I passed the 1,000 mark 17 tweets ago. Disadvantage of Tweetie: can't see your stats like that. "
1483,suzshi,Oh my gosh. Awful news of fire in nursery in Mexico. Nightmare  http://is.gd/Qlkf
1484,SissyHall,@thecomeback BOO HISS to Google ... 
1485,littlein09,hates the fact that she has to hide her sexuality. ARGH. want to burn seriously  x
1486,pretyawesome,My hamster just died 2nite...sob sob. May she rest in peace in hamster's heaven 
1487,JohnMcNicholas,"oh no, I think I' lost my Moleskin with three years worth of lyrics in it. "
1488,ashleymbailey,Saturday classes are such a bummer 
1489,hellorockview,Just fell in love with some red stilettos. But they aren't in my size. 
1490,JazzPaige,i cnt find my pants 
1491,alyssamarybeth,Boo my favorite oatmeal recipe didn't turn out 
1492,amiestuart,@DeniseMcClain @emmapetersen Mayberry is sucking her brains out 
1493,Danyellmarie630,@Blackberrygirl7 A. i wish i was napping by Chris Mays pool but i am at work   B. ppl here make me nuts!
1494,chickybarbwire,@xBabyV are you staying on? I need someone to talk to 
1495,PinkPrincessVic,Finished work thank god long day sore feet  have been listenin to shittybeat all day missed COOLFM glad to hear it again aha. Bloodyrain!!
1496,AislingizaDream,Meeting w/ friends to write some songs for me to record.  Too bad I'm too old for 'Idol'! 
1497,rebekkahhh,Itchy eye 
1498,MaarBeus,"@tommcfly Hi Tom, hi to me . Tom never answered me "
1499,socksmyrocksoff,We have family coming over so...what am i doing today? Cleaning 
1500,AlexanderMaurer,It's raining in Germany. 
1501,JordaanLeaannee,Followers haven't grown a bit 
1502,CatInTheHat1,Going over to allisons today. not doing anything now 
1503,mydelirium,"Last weekend it felt like summer, now it just feels like shit! The weathers horrible; cold,windy,rainy.  I hope tomorrow is sunny!"
1504,emilyheartspatd,i'm going to summer jam! and flo rida; jesse mccartney; 3OH!3 and more are perfroming! I'm so excited!  yay except i'm running late. 
1505,trishofthetrade,@BeccaDBus Hellloooo! Sorry I can't go to Pride with you guys..  But I've been pimping it out here!
1506,Jasmonique,@WayneDaStar lmaoo yes we will keep it clean!! We had fun last night but it wasn't the same  and yessss hope I have a good one. Just
1507,iliekpanduz,I wish I could have an actual conversation in Japanese 
1508,hawkins_boi,@xDKrystal whoops i rated it by accident and it was a 1 star  lol
1509,volley3girl,"overslept, got lost, and missed my sat this morning "
1510,poomarnian,feels REALLY ill 
1511,joonieb,"@PurestLight we just have the 2 wheelie bins, grey for gen rubbish, blue for glass/tins/plastic, garden rubbish has to go to the tip "
1512,hop93,Up already 
1513,HELKEMOLLO,Saturday working  
1514,wickedground,ugh why is it that i can't change the font colour of the pop up anymore? stupid css doesn't want to save 
1515,astradancer,Im super tired and i did nothing 
1516,lemonbar77,200 yrds never seemed so far away!  I wish Waffle House delivered  
1517,CelupGal,"Long run plans foiled this morning by sore leg. Side of leg, above ankle. Is there a name for that? Postponing long run till Sunday "
1518,pheyblom,"I think it's technically harder to relax then work. It's so easy to fill your day, but difficult to keep it empty. Studying for #LARE "
1519,IvaLacrima,http://twitpic.com/6qvg9 - Oh I miss them...COME BACK FROM BELGRADE!!! Just pathetic when you are alone 
1520,swirlygrl,"hmm...tried to see if the bf was awake yet, and he totally ignored me. "
1521,danielhardy,Nothing like waking up to a dead 24&quot; iMac... When will this run of bad luck end 
1522,LiluYvett,@mileycyrus  Miley follow me PLEASE!!!! I'm a biiig fan of you! and Idk how I can talk with you 
1523,meganrenee323,Noooo! I hate it when I wake up from such a good dream... 
1524,chickybarbwire,really needs someone to talk to so I hope somebody gets back on and replies to me or something. 
1525,girlsaloudmedia,"got a girls aloud domain going spare, duno what the hell to do with it "
1526,rhiannewakex,i am soo boredd. i need followerss which pretty much means i am talking to myself right now ! 
1527,AmbyrAbsynthe,Just brought mom to lax 
1528,dazedanez,wants to go out and have a drink.. i miss going out..  http://plurk.com/p/ywi9v
1529,aheard,woke up early and nobody is home   guess i will take this opportunity to get my (at least) 2 hours of study in.
1530,NykoleAKAKole,@honeyybee to get that deal back 
1531,kirstenferguson,@KWhitey boooooo i miss you  see you next week? xxx
1532,iamtricey,Eyebrow threading gone wrong   Luckily I do makeup so I can fix it!  ~Miss 27~
1533,Sean_Bl00d,another morning of nothing... yay me   I wish the sun would come out!
1534,rosellealteria,"@TresaValenton awww. my excitement is shattered, class starts na by 16 "
1535,neezat,@Star_cullen  hey dont know what to do 4 my personal statement help me
1536,laughalot66897,Rainy day..  it makes me tired.. **Yawn**
1537,beckyhope,Beyonce- broken hearted girl 
1538,holyschmoke,@FaveColourPink soz for not getting back to ya sooner! used my api on the iphone &amp; don't have sky sports in same room as pc  #rugby #lions
1539,LiluYvett,@selenagomez  Selena follow me PLEASE!!!! I'm a biiig fan of you! and Idk how I can talk with you 
1540,ssstacy,@Mikemo327  everyone is going to be there wowzersss 
1541,shaunarawrr_x,@mileycyrus i dont think my mam is gonna let me go to your concert in dublin.. this is so unfair!! 
1542,kdherde,working a double at Texas Roadhouse 
1543,krd07d,It's my birthday and I'm working the baseball game this guy Dayne 
1544,BeantownCutie,@Tanny1978 I dont know I will figure out something...I am trying to get my damn facetime 
1545,romeomarquez,Tweet #7000: No se que decir 
1546,josordoni,@spattzzz oh what a manly thing is a chesterfield.  Bloody uncomfortable hard thing with nowhere to put your head.  You can keep it 
1547,annach0c19,"weeeeh, i just wokeey up ! CRAP IM PACK WITH HOMEWORK. ! "
1548,sugardayfox,"have had home search visits in the morning, then a huge nap and now I just realized it is too late to leave for the school communion "
1549,colombo1971,@SoShoeMeDani Aaaahhhh!  How is the sweetie doing?  Poor thing 
1550,Mizzez_McDowell,Bout 2 go buy me a new Laptop...Mine Died 
1551,iamjeffzorn,Correction. Game 6 is on Wednesday. Not driving to Pittsburgh. 
1552,AnneWelsh,need to track down http://bit.ly/OMK9a  no institutional access 
1553,somethinglemon,@remember_it Miss you too! No one to eat a whole watermelon with 
1554,Dormousezzzz,"@mandythetwit Aww, what's the problem for Max? I hope he's okay. Hope your vet doesn't charge megga-bucks for a Sat too "
1555,c4keman,"Trio of jovial ladies came by, seemed to like my villain handbooks, but didn't buy them "
1556,SarelBarrera,My sims would look better if they have better clothes 
1557,MontyRules,@Paulpb Would love to (and i mean that) but will not be able to get away this weekend. 
1558,Huddylicious,"Great, why has ABC so freakinÃ‚Â´ awesome promos for its shows and FOX NOOOOT??? "
1559,Sharonxxxxx,owwwwww my head hurts 
1560,selmahand,"just got home from sency, honestly i still wanna go with them "
1561,torchwoodx,"@ikklePickle Spanish, Science and Maths and they just decided to throw in a History assessment too.. what a month "
1562,jkaplan1,@emmaxjonas I though I was one of ur favorite people 
1563,Jecka,"I'm not a fan of the scale this morning. Screw you, numbers! I enjoyed my buffet on Thursday and garlic naan at 10pm last night, damn it! "
1564,monispice,"Last night of OOC tour  diamond tears will be in abundance, i'm sure! &lt;3"
1565,madeline_g89,Don't wanna go back to work!!   Morning Twitter!  
1566,AnneWelsh,need to track down http://bit.ly/OMK9a  no institutional access  #feministlibrary
1567,bexiclepop,oh i just got quite upset when i found out Miss L has been in hospital  love her too much X
1568,vmlemon,@rbonini I've just noticed that it's down too. Just when I was going to make a comment on something. 
1569,kellygirl27,Sittin at work workin on my tan. Forgot my keys  Mom ran home to get them.
1570,Paulina_star,enjoing my weekend... and doing stuff 4 school/work 
1571,rickinicki,"needs relationship counseling. I don't know why I'm so bad at this, but I am. "
1572,michellegallen,Staring to pack for San Fran and #WWDC09...perturbed by the lack of pink shoes to put in my suitcase 
1573,nosrednAhsoJ,@thespacerace Looks like no Luigi's on this trip... 
1574,techtastic,".@iVampiresDev heyguys, great game but im wondering why all my unlocked items from the downloads like imob35 and such all disappeared? "
1575,Kimberley_JB9,@TheMattEvers lucky u.Its raining in the UK 
1576,chrisendencia,"I want buffalo wings  And wicked oreos. Okay, someone take me to Flaming Wings "
1577,Gavsmom1999,@MistahFAB You never responded to my DM  LOL
1578,xmissmcflyx,aw have to go to wrk 40 mins  i now wanna go i wanna tweet !!!!
1579,Brandicat,My uncle woke me up and now I can't go back to sleep.  and my left side hurts for some odd reason.
1580,stellifera,missing my dear amandafriends  all alone fixing my portfolio.. epic loneliness.
1581,cakelulu,@javalicious  hey!!!! I miss talking to u    when ur phone is fixed call me!
1582,Hathor44,Here is hoping we do not go lights out again 
1583,radiofreejenn,"@The_BORG Yeah, I can wish for things like iChat and the such, but I doubt it will happen "
1584,Speedster215,It is AFTER 11 and she is in her pjs doing god knows what in the kitchen. oblivious that other people have stuff they want to do 
1585,jeannieoct,failed with chanel (ups it isn't a fendi) super duper sceeweeeyy dress.  engko2 shit.
1586,JDogWood,Fudge. i already forgot my password 
1587,secretivemx,Why does class outing falls on that day ? :s I miss 4ED 
1588,elae,Also: wish I were at #mocca! 
1589,chi31ara,was hoping to take princess 2 doggy park...but hubby changed his mind 
1590,auntiedis,@aquariann I do not like the dentist...eeew..he makes my butt pucker. I should never have waited so long.  
1591,maeah,I hit the snooze button 4 times before I actually got up! I love the weeknd! I can't breathe through my nose!   good morning twittrs!
1592,MissXu,@devanwillemburg gasp! No! I wasn't in hk last year  where was it?
1593,PhatFop,@chamillionaire i cannot even call u cause i live in Greece...it says &quot;phone number does not exist&quot; 
1594,Princejoey26,@Artimus_Prime  so u saw the movie with out me 
1595,MissTaken4ever,Condolences to Vance and family on losing his uncle...  God have mercy on his soul.
1596,smuakr,"WTF, twitter search has no memory "
1597,rgvARI,"There is a beehive being built right on my window.  What should I do?  I can't kill the bee, they're going extinct!?  "
1598,djrobbiemartin,and I know I missed #followfriday  but my apt is clean! 
1599,Coma15White,Getting ready to go to a funeral service. 
1600,thefamilyband,We just got our key made!! Over a hundred dollars later!!! 
1601,eileenhinojas,Summer's over!!! huhu.. 
1602,LauraaaaSmith,"@whataboutadam I cant watch your blog tv show tonighttt , i have to go to a barbeque thinggy  Im sorry xxx"
1603,moodyje2,"@Amandaisaturd omg i know, my friends made me get up to go to brunch! I just want to sleep   "
1604,dismond,dear @virginmedia why is my on demand being rubbish? i'm too hungover and need it to work 
1605,_PheobeK_,@trvsbrkr http://twitpic.com/6o1c1 - Couldn't get tickets to Toronto - sold out in minutes...and I tried my best. 
1606,woodycakes,@mechellemybell I'm so sorry  *hugs ankle* hope it gets less painful soon
1607,nicaness,@earl1987 where is your soul? 
1608,lonelycoo,Friendfeed is down again. 
1609,jcra02,@archuphils hala lamang n c mcfly  49416 David is 49320
1610,meriel,I want The Sims 3.  Anyone kind enough to give me one?  haha
1611,melissaheyy,Good morning! I hate that feeling when you feel the sniffles coming on  I'm gonna let it get me!
1612,Stockycub1973,is looking at the weather forecast 4 2mrw. Thinking &quot;Bugger I am going 2 get soaked doing the Walk For Life 
1613,nicoledufkis,Hangovers are no fun 
1614,SuperUber7,@spader  are you taking anything?  Are these allergies?
1615,robertholiday,i have follower envy 
1616,peeks,@shevvy09 damn! Didn't even think about that! 
1617,xmissmcflyx,has to go to wrk in 40 mins  !!! i dini wanna go i wnt to tweet instead !!!!
1618,DoraJarr,@Fanny_Ingabout I don't think @Dedders wants me to be rich. 
1619,CDashMoney,Looking gloomy outside so I didn't get my run in yesterday or this morning.  and I hate to start sweating with a fresh retouch...
1620,techtastic,".@imobDeveloper hey all, nice game but im having issues with vanishing items from the promo downloads linking imob, ivamp, iknights etc "
1621,Lencho0902,i have a huge hangover 
1622,crystalangela,Oh noes.  summer's over...
1623,HeinKPFG,facebook poker is down   i wana win fake money dammit!
1624,BramRemigius,Auch! I burned my hands   http://twitpic.com/6qvnt
1625,amic7,Today is Lilli's birthday party... 
1626,allidubs,I got the lite mayo this time 
1627,allusagirl,woke up too late to get the free bagels in the lobby 
1628,jvin05,@Glendely I miss u so much I'm happy ur coming tomorrow hopefully I'll get to c u 
1629,BreBaby143,@RetroRewind That is really sad. 
1630,garytek,The heck? This is warmups. Cloud is such an AFK feeder noob  (rofl)
1631,zkukoff,enjoying a lazy saturday before I actually have to start working 
1632,bridge389,Missed combat  stayed out too late!
1633,sweet_sea,So sad I have to leave. Love you all 
1634,MaryfkaCrazy,"@shar0869 Thanks for the re-tweets Shar, appreciate you spreading the word. Hope all is well with Mrs. D. I miss hearing from her. "
1635,redraiderlyns,@bstrebeck haha i got suckered into flowers a few weeks ago. I'm still not a fan 
1636,VickJane, maths mechanics is gona destroy my future
1637,wastethisnight,@tehchrister I'm going to the Buffalo and Chicago shows. I have terrible seats for both  But shitty seats still = FOB
1638,dnf007,@kassyvo same here 830 is not acceptable 
1639,marianaguidil,"@tommcfly i voted for you! but, you're bad tom! you never answer me! i'm sending messages every day! but is always the same thing! "
1640,teamincredible,Oh damn y'all have tolls in ny and nj? I'm sorry 
1641,xoxoGG_chrissy,@bowwow614 i just woke upp!!!  lol
1642,LevnUMesmerized,G'morning Twitts! First stop (after a LONG night) - Starbucks to get me my daily &quot;hit&quot;.. Haha! THEN to get an oil change.. Ahh! Im tired! 
1643,mcfly_fallinlov,I'm sad because yesterdar was McFLY's concert in Argentina! An it's over 
1644,goktuggedik,Ooopss! Friendfeed down  http://yfrog.com/11vsmj
1645,hockeyfan45214,@VARSITYFC When does the new merchandise go up? Did I miss it? 
1646,dale23167,@wendilynnmakeup that sucks!!! we dont get season 3 on dvd until October 12th or something according to Play.com  extremely sadface ahaha
1647,nikkibrit,off to work...the last place i wanna be 
1648,ryanplevins,Just woke up...flight back home to stl today at 4:25pm-Cali time 
1649,liiaszta,"@mileycyrus that must be so cutee. sometimes i wish to have a puppies, but i cant even took care of my gold fish "
1650,meriel,@empress8814 Someone. You don't know. The guy I like commented on her Facebook. I'm jealous he's friends with her. 
1651,sweet_ctstrphe,@setv i know  i want to very badly.
1652,mad3lyn,The bunny is no longer alive 
1653,vrfarrell,Jbulianiah - You dutch friend bottled out for now! I was hoping they might be a good couple to have! Hope you are well - thanks anyways 
1654,amolgupta,would be unable to watch the match tonight  #WC-T20
1655,Stylish_T,@steph_lova1117 Poppin color... I have that on now but forgot my polish @ the salon 
1656,iwantyoursoda,debating whether or not I should go to the show in austin tonight... 
1657,makopper,@tommcfly doesn't has it to sell in Brazil. I'M CRYINGGG! 
1658,markhoez,Just woke up. Ate a bowl of cereal. Should be getting ready for work. Blahhhh!!! 
1659,tvpiphone,I hate waking up crabby 
1660,oligenhex,*argh* time to start studying ... CISA exam in less than a week 
1661,petitegreek88,working 12-6... so happy to have a Saturday night off even though it's going to be full of school work  so lameeee.
1662,elnino1211,"@rosatifanda im off to club with the boys..  still, miss U instead.. "
1663,ScottyHuff,Beautiful day in Nashville - tho I will be putting up drywall after fixing water damage in my home studio!! 
1664,alyb_,@iLoveMyEgo aw  my dad is stubborn like that too girl! What are y'all fighting about?
1665,dearnova,My ipod won't charge 
1666,qtbrowneyes,@vjk2005 5 more levels! okay. my defense sum cant be strong.  demo ganbari masu! no plan to come back?
1667,lovelylala69,at mom's ( : .. played 5 hours of Rockband last night .. singing for 4 of them .. my throat hurts 
1668,niholoid,@mr_louie it looks like you have to buy two of each style too  but thanks for the link!! so much pretty clothes ;w;
1669,tepyyyy,grr.. fall out boy should come to cali 
1670,TheJackel92,Think I've just made stuff even worse...that's a best mate gone then :\ 
1671,fitprosarah,Uploading to YouTube takes forever!  poo!
1672,branhead4lyfe,@FUNKYENGINE I would but I gotta work tomorrow.... 
1673,sheatsb,dealing with excess paperwork means no #pcatl for this one 
1674,pez_gurl,so glad i didn't have to work today. tummy isn't happy. 
1675,meriel,@empress8814 Someone. You don't know. The guy I like commented on her Facebook. I'm jealous she's friends with him. 
1676,juliedeborah,Last night was interesting.  Went out with Meghans dance teacher and some of the dance moms.  My head hurts 
1677,TrishaSalonga,"@DavidGuison Okay, you owe me some KFC brownies now! HOHO!  just eating apples."
1678,adammiya,"Still looking for a new web host... any suggestions? Need a new home for my web page, WSU took mine down "
1679,maine567,OMG.. blair and chuck is almost be together again but the timing is just wrong argh.. soo sad.. 
1680,BlingJen,I am so sad   !!!
1681,ummahdesign,"can't even spell &quot;connection&quot; anyway, nothing is loading but Twitter seem to be free of this.... shrug "
1682,amy4669,@dagolion It choked TweetDeck all up yesterday... &amp; then my alcohol intake didn't help either...     So I took a much needed TweetBreak!!
1683,brent_houser,it a very warm morning w/ a southerly breeze in the Great st of TX... summer is on the way!! need to get some yard work done today 
1684,Jessikr,had the last vocal jazz gig yesterday 
1685,thegam310,Someone talk to me 
1686,TJCAKES,Damn im not ever allowed to go to glasgow to see Alex and Josh 
1687,obbwithday26,home back to reality  misss day26 bowow souljaboy nd songssss fun 2days! *
1688,Momof004,@PattinsonRobT AMEN-the price of stardom 
1689,amberignat,"HAH! Four beers, shot of tequilla, and everclear. Lost my shoes as well  Fun night thoughhh. I got to see Damien too!"
1690,nikkibop,"@dragonfly311 thats the movie Michael was in, but they cut him "
1691,Bekah_pickle,Another grey hair  I'm not very happy about this
1692,samchan_92,aw man-chick won French Open instead of hot boy's sister  oh well
1693,Cheeto_Caliente,can't wait to see &quot;The Hangover&quot; I just wish I wasn't so broke 
1694,yourdad_inbolas,Byee tweets! :S 
